# PORT M2 M2.SEQ raw-event sequence model at candidate grain (lane=port-m2-seqtest; seed=20260813; device=NVIDIA RTX PRO 6000 Blackwell Workstation Edition)
# F3: the DEPLOY-MATCHED objective.  group=day is the schedule's own selection unit (score all candidates of an asset-day, take 3 across it); group=class is the first pass's (asset,day,class) form, carried as the matched control.
# The POOLED row's last two columns are capture_oracle and $/session, not NDCG.
arm	group	mode	trunk	hardneg	daymem	creator26	era	loss	ndcg3_day	ndcg3_class	ndcg3_random_day	ndcg3_random_class	ndcg3_earliest_day	n_groups_eval	n_eval
LMART2_CELL_ALLDATA	cell	ctx	NONE	0	False	False	E3	rank:ndcg	0.3355	0.3935	0.2266	0.3073		1170	151884
LMART2_CELL_ALLDATA	cell	ctx	NONE	0	False	False	E4	rank:ndcg	0.4772	0.4219	0.2304	0.3127		1155	148474
LMART2_CELL_ALLDATA	cell	ctx	NONE	0	False	False	E5	rank:ndcg	0.4746	0.3983	0.2466	0.3185		1161	153013
LMART2_CELL_ALLDATA	cell	ctx	NONE	0	False	False	E6	rank:ndcg	0.5067	0.4006	0.2292	0.3066		1152	163182
LMART2_CELL_ALLDATA	cell	ctx	NONE	0	False	False	E7	rank:ndcg	0.4828	0.3958	0.2156	0.3061		1179	158329
LMART2_CELL_ALLDATA	cell	ctx	NONE	0	False	False	E8	rank:ndcg	0.5502	0.3798	0.2161	0.3032		1143	172438
LMART2_CELL_ALLDATA	cell	ctx	NONE	0	False	False	POOLED							0.0895	264.85
LMART2_CELL_ALLDATA_CRE26	cell	ctx	NONE	0	False	True	E3	rank:ndcg	0.343	0.3877	0.2266	0.3073		1170	151884
LMART2_CELL_ALLDATA_CRE26	cell	ctx	NONE	0	False	True	E4	rank:ndcg	0.3737	0.3986	0.2304	0.3127		1155	148474
LMART2_CELL_ALLDATA_CRE26	cell	ctx	NONE	0	False	True	E5	rank:ndcg	0.4095	0.4048	0.2466	0.3185		1161	153013
LMART2_CELL_ALLDATA_CRE26	cell	ctx	NONE	0	False	True	E6	rank:ndcg	0.3835	0.3909	0.2292	0.3066		1152	163182
LMART2_CELL_ALLDATA_CRE26	cell	ctx	NONE	0	False	True	E7	rank:ndcg	0.4756	0.4009	0.2156	0.3061		1179	158329
LMART2_CELL_ALLDATA_CRE26	cell	ctx	NONE	0	False	True	E8	rank:ndcg	0.5704	0.3828	0.2161	0.3032		1143	172438
LMART2_CELL_ALLDATA_CRE26	cell	ctx	NONE	0	False	True	POOLED							0.0829	245.13
LMART2_CELL_ALLDATA_HN1	cell	ctx	NONE	1.0	False	False	E3	rank:ndcg	0.324	0.3974	0.2266	0.3073		1170	151884
LMART2_CELL_ALLDATA_HN1	cell	ctx	NONE	1.0	False	False	E4	rank:ndcg	0.3457	0.3819	0.2304	0.3127		1155	148474
LMART2_CELL_ALLDATA_HN1	cell	ctx	NONE	1.0	False	False	E5	rank:ndcg	0.3447	0.3852	0.2466	0.3185		1161	153013
LMART2_CELL_ALLDATA_HN1	cell	ctx	NONE	1.0	False	False	E6	rank:ndcg	0.39	0.3973	0.2292	0.3066		1152	163182
LMART2_CELL_ALLDATA_HN1	cell	ctx	NONE	1.0	False	False	E7	rank:ndcg	0.3945	0.3674	0.2156	0.3061		1179	158329
LMART2_CELL_ALLDATA_HN1	cell	ctx	NONE	1.0	False	False	E8	rank:ndcg	0.4185	0.3676	0.2161	0.3032		1143	172438
LMART2_CELL_ALLDATA_HN1	cell	ctx	NONE	1.0	False	False	POOLED							0.0361	106.9
LMART2_CELL_ALLDATA_HN3	cell	ctx	NONE	3.0	False	False	E3	rank:ndcg	0.3073	0.3795	0.2266	0.3073		1170	151884
LMART2_CELL_ALLDATA_HN3	cell	ctx	NONE	3.0	False	False	E4	rank:ndcg	0.3339	0.3673	0.2304	0.3127		1155	148474
LMART2_CELL_ALLDATA_HN3	cell	ctx	NONE	3.0	False	False	E5	rank:ndcg	0.3281	0.3753	0.2466	0.3185		1161	153013
LMART2_CELL_ALLDATA_HN3	cell	ctx	NONE	3.0	False	False	E6	rank:ndcg	0.3108	0.3451	0.2292	0.3066		1152	163182
LMART2_CELL_ALLDATA_HN3	cell	ctx	NONE	3.0	False	False	E7	rank:ndcg	0.3023	0.3521	0.2156	0.3061		1179	158329
LMART2_CELL_ALLDATA_HN3	cell	ctx	NONE	3.0	False	False	E8	rank:ndcg	0.3428	0.3696	0.2161	0.3032		1143	172438
LMART2_CELL_ALLDATA_HN3	cell	ctx	NONE	3.0	False	False	POOLED							-0.0041	-12.01
LMART2_CELL_ALLDATA_MEM	cell	ctx	NONE	0	True	False	E3	rank:ndcg	0.3587	0.3939	0.2266	0.3073		1170	151884
LMART2_CELL_ALLDATA_MEM	cell	ctx	NONE	0	True	False	E4	rank:ndcg	0.3865	0.3938	0.2304	0.3127		1155	148474
LMART2_CELL_ALLDATA_MEM	cell	ctx	NONE	0	True	False	E5	rank:ndcg	0.481	0.3953	0.2466	0.3185		1161	153013
LMART2_CELL_ALLDATA_MEM	cell	ctx	NONE	0	True	False	E6	rank:ndcg	0.4922	0.394	0.2292	0.3066		1152	163182
LMART2_CELL_ALLDATA_MEM	cell	ctx	NONE	0	True	False	E7	rank:ndcg	0.4244	0.3852	0.2156	0.3061		1179	158329
LMART2_CELL_ALLDATA_MEM	cell	ctx	NONE	0	True	False	E8	rank:ndcg	0.4851	0.378	0.2161	0.3032		1143	172438
LMART2_CELL_ALLDATA_MEM	cell	ctx	NONE	0	True	False	POOLED							0.0714	211.15
LMART2_CELL_ALLDATA_MEM_CRE26	cell	ctx	NONE	0	True	True	E3	rank:ndcg	0.3485	0.3952	0.2266	0.3073		1170	151884
LMART2_CELL_ALLDATA_MEM_CRE26	cell	ctx	NONE	0	True	True	E4	rank:ndcg	0.4327	0.4071	0.2304	0.3127		1155	148474
LMART2_CELL_ALLDATA_MEM_CRE26	cell	ctx	NONE	0	True	True	E5	rank:ndcg	0.4866	0.3988	0.2466	0.3185		1161	153013
LMART2_CELL_ALLDATA_MEM_CRE26	cell	ctx	NONE	0	True	True	E6	rank:ndcg	0.4728	0.4145	0.2292	0.3066		1152	163182
LMART2_CELL_ALLDATA_MEM_CRE26	cell	ctx	NONE	0	True	True	E7	rank:ndcg	0.5133	0.386	0.2156	0.3061		1179	158329
LMART2_CELL_ALLDATA_MEM_CRE26	cell	ctx	NONE	0	True	True	E8	rank:ndcg	0.4548	0.3934	0.2161	0.3032		1143	172438
LMART2_CELL_ALLDATA_MEM_CRE26	cell	ctx	NONE	0	True	True	POOLED							0.0867	256.44
LMART2_CLASS_ALLDATA	class	ctx	NONE	0	False	False	E3	rank:ndcg	0.386	0.386	0.3073	0.3073		3613	151884
LMART2_CLASS_ALLDATA	class	ctx	NONE	0	False	False	E4	rank:ndcg	0.4102	0.4102	0.3127	0.3127		3512	148474
LMART2_CLASS_ALLDATA	class	ctx	NONE	0	False	False	E5	rank:ndcg	0.4015	0.4015	0.3185	0.3185		3601	153013
LMART2_CLASS_ALLDATA	class	ctx	NONE	0	False	False	E6	rank:ndcg	0.3976	0.3976	0.3066	0.3066		3764	163182
LMART2_CLASS_ALLDATA	class	ctx	NONE	0	False	False	E7	rank:ndcg	0.3808	0.3808	0.3061	0.3061		3766	158329
LMART2_CLASS_ALLDATA	class	ctx	NONE	0	False	False	E8	rank:ndcg	0.3723	0.3723	0.3032	0.3032		3913	172438
LMART2_CLASS_ALLDATA	class	ctx	NONE	0	False	False	POOLED							0.0055	16.32
LMART2_DAY_ALLDATA	day	ctx	NONE	0	False	False	E3	rank:ndcg	0.303	0.392	0.1811	0.3073		390	151884
LMART2_DAY_ALLDATA	day	ctx	NONE	0	False	False	E4	rank:ndcg	0.2914	0.3946	0.1704	0.3127		385	148474
LMART2_DAY_ALLDATA	day	ctx	NONE	0	False	False	E5	rank:ndcg	0.2636	0.3926	0.1889	0.3185		387	153013
LMART2_DAY_ALLDATA	day	ctx	NONE	0	False	False	E6	rank:ndcg	0.2592	0.3878	0.1572	0.3066		384	163182
LMART2_DAY_ALLDATA	day	ctx	NONE	0	False	False	E7	rank:ndcg	0.2477	0.3825	0.161	0.3061		393	158329
LMART2_DAY_ALLDATA	day	ctx	NONE	0	False	False	E8	rank:ndcg	0.2738	0.3844	0.1459	0.3032		381	172438
LMART2_DAY_ALLDATA	day	ctx	NONE	0	False	False	POOLED							0.0015	4.33
LMART_ALLDATA_CLASSGRP	class	ctx	NONE	0	False	False	E3	rank:ndcg	0.386	0.386	0.3073	0.3073	0.3366	3613	151884
LMART_ALLDATA_CLASSGRP	class	ctx	NONE	0	False	False	E4	rank:ndcg	0.4102	0.4102	0.3127	0.3127	0.3367	3512	148474
LMART_ALLDATA_CLASSGRP	class	ctx	NONE	0	False	False	E5	rank:ndcg	0.4015	0.4015	0.3185	0.3185	0.3537	3601	153013
LMART_ALLDATA_CLASSGRP	class	ctx	NONE	0	False	False	E6	rank:ndcg	0.3976	0.3976	0.3066	0.3066	0.3382	3764	163182
LMART_ALLDATA_CLASSGRP	class	ctx	NONE	0	False	False	E7	rank:ndcg	0.3808	0.3808	0.3061	0.3061	0.3438	3766	158329
LMART_ALLDATA_CLASSGRP	class	ctx	NONE	0	False	False	E8	rank:ndcg	0.3723	0.3723	0.3032	0.3032	0.3279	3913	172438
LMART_ALLDATA_CLASSGRP	class	ctx	NONE	0	False	False	POOLED							0.0055	16.32
LMART_ALLDATA_NOTF	class	ctx	NONE	0	False	False	E3	rank:ndcg	0.3955	0.3955	0.2798	0.2798	0.3478	2923	151884
LMART_ALLDATA_NOTF	class	ctx	NONE	0	False	False	E4	rank:ndcg	0.3829	0.3829	0.2776	0.2776	0.3523	2893	148474
LMART_ALLDATA_NOTF	class	ctx	NONE	0	False	False	E5	rank:ndcg	0.4113	0.4113	0.2873	0.2873	0.3588	2934	153013
LMART_ALLDATA_NOTF	class	ctx	NONE	0	False	False	E6	rank:ndcg	0.3851	0.3851	0.277	0.277	0.352	3111	163182
LMART_ALLDATA_NOTF	class	ctx	NONE	0	False	False	E7	rank:ndcg	0.3941	0.3941	0.2685	0.2685	0.3365	3031	158329
LMART_ALLDATA_NOTF	class	ctx	NONE	0	False	False	E8	rank:ndcg	0.3862	0.3862	0.2654	0.2654	0.3413	3232	172438
LMART_ALLDATA_NOTF	class	ctx	NONE	0	False	False	POOLED							0.0667	197.44
LMART_ALLDATA_SHUFFLED	class	ctx	NONE	0	False	False	E3	rank:ndcg	0.276	0.276	0.2798	0.2798	0.3478	2923	151884
LMART_ALLDATA_SHUFFLED	class	ctx	NONE	0	False	False	E4	rank:ndcg	0.2931	0.2931	0.2776	0.2776	0.3523	2893	148474
LMART_ALLDATA_SHUFFLED	class	ctx	NONE	0	False	False	E5	rank:ndcg	0.2977	0.2977	0.2873	0.2873	0.3588	2934	153013
LMART_ALLDATA_SHUFFLED	class	ctx	NONE	0	False	False	E6	rank:ndcg	0.2813	0.2813	0.277	0.277	0.352	3111	163182
LMART_ALLDATA_SHUFFLED	class	ctx	NONE	0	False	False	E7	rank:ndcg	0.2824	0.2824	0.2685	0.2685	0.3365	3031	158329
LMART_ALLDATA_SHUFFLED	class	ctx	NONE	0	False	False	E8	rank:ndcg	0.3243	0.3243	0.2654	0.2654	0.3413	3232	172438
LMART_ALLDATA_SHUFFLED	class	ctx	NONE	0	False	False	POOLED							-0.0294	-86.84
LMART_CELL	class	ctx	NONE	0	False	False	E3	rank:ndcg	0.3544	0.3544	0.2798	0.2798	0.3478	2923	151884
LMART_CELL	class	ctx	NONE	0	False	False	E4	rank:ndcg	0.397	0.397	0.2776	0.2776	0.3523	2893	148474
LMART_CELL	class	ctx	NONE	0	False	False	E5	rank:ndcg	0.3864	0.3864	0.2873	0.2873	0.3588	2934	153013
LMART_CELL	class	ctx	NONE	0	False	False	E6	rank:ndcg	0.3674	0.3674	0.277	0.277	0.352	3111	163182
LMART_CELL	class	ctx	NONE	0	False	False	E7	rank:ndcg	0.3943	0.3943	0.2685	0.2685	0.3365	3031	158329
LMART_CELL	class	ctx	NONE	0	False	False	E8	rank:ndcg	0.3875	0.3875	0.2654	0.2654	0.3413	3232	172438
LMART_CELL	class	ctx	NONE	0	False	False	POOLED							0.0589	174.16
