# PORT M2 D-090.6 information ceiling (E6, hindsight-fit, NON-CAUSAL-BY-DESIGN) (PORT-M2-INFO-CEILING-V1)
# NON-CAUSAL-BY-DESIGN: hindsight-fit upper bound over ALL E6 sessions (study + sealed blind). NOT a deployable result.
# mean_diff = mean(winner leg - loser leg), CR1 interval CLUSTERED BY DAY; sign_for_winner = the direction that points at the paying side
# pair_acc_kfold: the sign is chosen on 4/5 of the DAYS and scored on the held-out fifth — 0.50 is a coin flip
# NON-CAUSAL-BY-DESIGN: the pair set is defined by outcomes, so this table says what information EXISTS in the views, never what a live reader could have selected on
rank	field	layer	group	n_pairs	sign_for_winner	mean_diff	ci_lo	ci_hi	p_clustered_by_day	pair_acc_in_sample	pair_acc_kfold
1	side	DIGEST	flow	3251	1	0.288527	-0.0145716	0.591625	0.0618925	0.572132	0.572132
2	ret_sess_open_with	SHEETS	geometry	3251	1	522.914	-213.997	1259.83	0.162695	0.53199	0.53199
3	abs_mins_to_release	DIGEST	news	3251	1	0.0617199	0.00362601	0.119814	0.0375005	0.528299	0.528299
4	accel_usd	DIGEST	flow	3233	-1	-3.00418	-11.1697	5.16138	0.467916	0.528147	0.528147
5	fph_sflow_with	DIGEST	flow	3251	-1	-102.2	-324.331	119.931	0.364295	0.527069	0.527069
6	slope_1m_usd	DIGEST	flow	3238	-1	-3.00533	-12.496	6.48531	0.532012	0.524552	0.524552
7	p033_product	SHEETS	p030_p033	3251	-1	-32737.1	-66056.8	582.678	0.05408	0.523685	0.523685
8	p033_sqrt	SHEETS	p030_p033	3251	-1	-4.12795	-7.72059	-0.535321	0.024667	0.523685	0.523685
9	slope_5m_with	DIGEST	flow	3233	1	2.16479	-2.25425	6.58382	0.334177	0.523353	0.523353
10	ret_phase_open_with	SHEETS	geometry	3251	1	134.637	-430.396	699.671	0.638061	0.521686	0.521686
11	cancel_retreat_up	SEQ	seq	3251	-1	-0.461704	-0.945126	0.0217178	0.0610465	0.521686	0.521686
12	@span_sec	EPMETA	derived	3251	1	11.4103	4.17309	18.6476	0.00224181	0.519532	0.519532
13	pull_ratio_dn	SEQ	seq	3248	-1	-0.00407848	-0.00931852	0.00116155	0.125996	0.518935	0.518935
14	@n_members	EPMETA	derived	3251	1	0.241157	0.0119883	0.470325	0.0393201	0.51661	0.51661
15	med_gap_ms	SEQ	seq	3250	1	0.162124	-0.663799	0.988046	0.698331	0.514308	0.514308
16	level_dist_atr	DIGEST	level	3251	1	0.000276309	-0.000424753	0.000977372	0.436871	0.51338	0.51338
17	dasz_min	DIGEST	event	3248	1	0.251232	-0.10061	0.603073	0.160098	0.512931	0.512931
18	w600_pull_ratio_up	SEQ	seq	3247	-1	-0.000382841	-0.00150754	0.000741855	0.50178	0.512627	0.512627
19	f5m_sflow_with	DIGEST	flow	3251	-1	-3.64626	-14.9774	7.68492	0.525402	0.512612	0.512612
20	rv1800_usd	DIGEST	seat	3251	-1	-1.19221	-2.43547	0.0510483	0.0600218	0.512612	0.512612
21	w600_one_side_pull	SEQ	seq	3245	-1	-0.000125807	-0.00153951	0.0012879	0.86049	0.512018	0.512018
22	f60_sflow_with	DIGEST	flow	3251	-1	0.161181	-2.92154	3.2439	0.917753	0.511996	0.511996
23	pull_ratio_up	SEQ	seq	3246	-1	-0.00346938	-0.00915488	0.00221611	0.229463	0.511399	0.511399
24	w600_n_ev	SEQ	seq	3251	1	14.1763	-27.8601	56.2126	0.505747	0.511381	0.511381
25	f30m_vol	SHEETS	flow	3251	-1	-2.19102	-10.3895	6.00747	0.597824	0.51092	0.51092
26	fuel_above	DIGEST	fuel_poc	3251	-1	-41.9609	-101.356	17.4339	0.164541	0.510766	0.510766
27	w600_ev_per_s	SEQ	seq	3251	1	0.0229831	-0.047175	0.0931411	0.517977	0.509689	0.509689
28	f30m_n	SHEETS	flow	3251	-1	-1.57767	-4.9014	1.74607	0.349347	0.509536	0.509536
29	d_poc_usd	DIGEST	fuel_poc	3234	1	6.40461	1.12983	11.6794	0.0177257	0.508967	0.508967
30	w600_cancel_retreat_up	SEQ	seq	3251	-1	-0.146109	-0.661022	0.368804	0.575426	0.508767	0.508767
31	f5m_n	SHEETS	flow	3251	-1	-0.480468	-3.00621	2.04528	0.707211	0.508613	0.508613
32	w600_med_gap_ms	SEQ	seq	3251	1	-0.0241561	-0.432288	0.383976	0.906944	0.508305	0.508305
33	fph_n	DIGEST	flow	3251	1	2.62227	-1.89045	7.13499	0.252343	0.507998	0.507998
34	fph_vol	DIGEST	flow	3251	1	5.83974	-3.83231	15.5118	0.234389	0.507998	0.507998
35	fuel_total	SHEETS	fuel_poc	3251	1	5.83974	-3.83231	15.5118	0.234389	0.507998	0.507998
36	w600_add_walk_up	SEQ	seq	3251	1	0.155029	-1.03115	1.3412	0.796331	0.507998	0.507998
37	spread_ratio	DIGEST	regime	3251	1	0.00799754	-0.0166336	0.0326287	0.52168	0.507536	0.507536
38	spread_dec_usd	DIGEST	regime	3251	1	0.396032	-0.259224	1.05129	0.233913	0.507536	0.507536
39	trade_retreat_dn	SEQ	seq	3251	1	-0.24454	-1.16808	0.678997	0.601196	0.507536	0.507536
40	release_age_sec	SHEETS	news	3251	1	232.44	-757.538	1222.42	0.642985	0.507382	0.507382
41	refail_dist_usd	SHEETS	level	3226	-1	-3.19668	-9.81513	3.42176	0.340986	0.50682	0.50682
42	erosion_with_side	DIGEST	event	3248	1	0.198584	-0.158937	0.556105	0.273771	0.506773	0.506773
43	w600_trade_frac	SEQ	seq	3251	1	7.16314e-05	-0.000104985	0.000248247	0.423703	0.506767	0.506767
44	bid_reload	SEQ	seq	3251	-1	-0.701938	-1.78833	0.384457	0.203372	0.506306	0.506306
45	clock_sec	DIGEST	clock	3251	1	55.2633	-93.1704	203.697	0.46262	0.505844	0.505844
46	f5m_vol	DIGEST	flow	3251	-1	0.135958	-5.3033	5.57521	0.960626	0.505691	0.505691
47	mins_to_release	DIGEST	news	3251	1	5.7934	-3.01501	14.6018	0.19543	0.505537	0.505537
48	fc_anchor_age_sec	SHEETS	forecast	3251	1	10.9692	-7.01066	28.9491	0.229564	0.505537	0.505537
49	cell_rank_so_far	SHEETS	episode	3251	1	0.0212242	-0.0716126	0.114061	0.651737	0.505383	0.505383
50	sess_rank_so_far	SHEETS	episode	3251	1	0.0212242	-0.0716126	0.114061	0.651737	0.505383	0.505383
51	dec_sec	DIGEST	clock	3251	1	2.11043	-1.41967	5.64053	0.238996	0.505229	0.505229
52	rung_0.075	DIGEST	class	3251	1	0.0104583	0.00140776	0.0195089	0.0238767	0.505229	0.505229
53	runway_phase_sec	DIGEST	runway	3251	-1	-2.11043	-5.64053	1.41967	0.238996	0.505229	0.505229
54	runway_frac	DIGEST	runway	3251	-1	-7.36063e-05	-0.000183249	3.60366e-05	0.186402	0.505229	0.505229
55	phase_age_sec	DIGEST	runway	3251	1	2.11043	-1.41967	5.64053	0.238996	0.505229	0.505229
56	runway_sess_sec	DIGEST	runway	3251	-1	-2.11043	-5.64053	1.41967	0.238996	0.505229	0.505229
57	cell_age_sec	SHEETS	episode	3251	1	2.11043	-1.41967	5.64053	0.238996	0.505229	0.505229
58	thru_imb	SHEETS	event	2640	1	0.0034916	-0.00806535	0.0150485	0.550919	0.505114	0.505114
59	hit_bid	SEQ	seq	3251	1	-1.31067	-4.6636	2.04225	0.440623	0.505075	0.505075
60	w600_n_trades	SEQ	seq	3251	-1	0.639803	-2.20147	3.48108	0.656631	0.504922	0.504922
61	xa_SI_age_sec	SHEETS	xasset	3225	1	14.4115	-10.4426	39.2655	0.253352	0.504651	0.504651
62	thru_bid	SHEETS	event	3251	1	0.0406029	-0.108058	0.189264	0.589802	0.504614	0.504614
63	w600_ask_reload	SEQ	seq	3251	1	0.0793602	-1.22945	1.38817	0.904678	0.504306	0.504306
64	xa_HG_age_sec	SHEETS	xasset	3225	1	-9.33705	-32.4405	13.7664	0.425342	0.504031	0.504031
65	xa_NKD_age_sec	SHEETS	xasset	3225	1	-9.35411	-32.1234	13.4152	0.41775	0.504031	0.504031
66	f60_n	DIGEST	flow	3251	1	-0.114119	-1.83177	1.60353	0.895605	0.503845	0.503845
67	fev_n	SHEETS	news	3251	1	1.37158	-4.83966	7.58281	0.662859	0.503845	0.503845
68	fev_vol	SHEETS	news	3251	1	3.05875	-10.5104	16.6279	0.656291	0.503845	0.503845
69	n_ev_60	DIGEST	event	3251	-1	-4.60504	-24.8901	15.68	0.654017	0.503537	0.503537
70	w600_stack_asym	SEQ	seq	3251	-1	-0.00522916	-0.0175453	0.00708698	0.402372	0.50323	0.50323
71	trade_frac	SEQ	seq	3251	1	1.96871e-05	-0.000686924	0.000726298	0.956117	0.503076	0.503076
72	coverage_phase	DIGEST	seat	3251	1	1.4885e-05	-0.000973896	0.00100367	0.976281	0.502461	0.502461
73	@unspent_phase_usd	DIGEST	derived	3251	-1	-0.526761	-2.60634	1.55282	0.617051	0.502461	0.502461
74	surprise	DIGEST	regime	3251	1	-0.000103743	-0.00108119	0.0008737	0.833974	0.502461	0.502461
75	w600_trade_retreat_dn	SEQ	seq	3251	1	0.140265	-0.872006	1.15253	0.784369	0.502307	0.502307
76	levfam_PHASE_HL	DIGEST	level	3251	1	0.00369117	0.00100344	0.0063789	0.00749736	0.501846	0.501846
77	ladder_band	DIGEST	regime	3251	1	0.00276838	-0.00221029	0.00774705	0.273255	0.501692	0.501692
78	rung_0.15	DIGEST	class	3251	-1	-0.00307598	-0.00945515	0.0033032	0.341789	0.501538	0.501538
79	flag_OREXT_BEYOND	SHEETS	level	3251	-1	-0.00276838	-0.00877568	0.00323892	0.363521	0.501384	0.501384
80	pre_release_window	SHEETS	news	3251	1	0.00246078	-0.000654107	0.00557567	0.120467	0.50123	0.50123
81	day_type	DIGEST	regime	3251	1	0.00215318	-0.00134048	0.00564685	0.224871	0.501077	0.501077
82	event_in_phase	SHEETS	news	3251	-1	-0.00215318	-0.00494995	0.000643586	0.130121	0.501077	0.501077
83	cell_is_open_row	SHEETS	episode	3251	1	0.00215318	-0.00114515	0.00545152	0.198759	0.501077	0.501077
